Player,Pos,Team,Age,Yrs,Dollars,Guaranteed,% GTD,Avg. Salary,Free Agent
WestbrookRussell Westbrook (2018-2022) ,PG,HOUSigned w/OKC,30,5,"$206,794,070","$206,794,070",100.00%,"$41,358,814",2023
CurryStephen Curry (2017-2021) ,PG,GSW,31,5,"$201,158,790","$201,158,790",100.00%,"$40,231,758",2022
LillardDamian Lillard (2021-2024) ,PG,POR,29,4,"$196,000,000","$196,000,000",100.00%,"$49,000,000",2025
ThompsonKlay Thompson (2019-2023) ,SG,GSW,29,5,"$189,903,600","$189,903,600",100.00%,"$37,980,720",2024
HarrisTobias Harris (2019-2023) ,SF,PHI,27,5,"$180,000,000","$180,000,000",100.00%,"$36,000,000",2024
MiddletonKhris Middleton (2019-2023) ,SF,MIL,28,5,"$177,500,000","$177,500,000",100.00%,"$35,500,000",2024
GriffinBlake Griffin (2017-2021) ,PF,DETSigned w/LAC,30,5,"$171,174,820","$171,174,820",100.00%,"$34,234,964",2022
HardenJames Harden (2019-2022) ,SG,HOU,30,4,"$171,131,520","$171,131,520",100.00%,"$42,782,880",2023
WallJohn Wall (2019-2022) ,PG,WAS,29,4,"$171,131,520","$171,131,520",100.00%,"$42,782,880",2023
MurrayJamal Murray (2020-2024) ,PG,DEN,22,5,"$169,650,000","$169,650,000",100.00%,"$33,930,000",2025
SimmonsBen Simmons (2020-2024) ,PG,PHI,23,5,"$169,650,000","$169,650,000",100.00%,"$33,930,000",2025
DurantKevin Durant (2019-2022) ,SF,BKNSigned w/GSW,31,4,"$164,255,700","$159,955,700",97.38%,"$41,063,925",2023
PaulChris Paul (2018-2021) ,PG,OKCSigned w/HOU,34,4,"$159,730,592","$159,730,592",100.00%,"$39,932,648",2022
TownsKarl-Anthony Towns (2019-2023) ,C,MIN,23,5,"$158,253,000","$158,253,000",100.00%,"$31,650,600",2024
BookerDevin Booker (2019-2023) ,SG,PHX,23,5,"$158,253,000","$158,253,000",100.00%,"$31,650,600",2024
PorzingisKristaps Porzingis (2019-2023) ,PF,DAL,24,5,"$158,253,000","$158,253,000",100.00%,"$31,650,600",2024
JamesLeBron James (2018-2021) ,SF,LAL,34,4,"$153,312,846","$153,312,846",100.00%,"$38,328,212",2022
ConleyMike Conley (2016-2020) ,PG,UTHSigned w/MEM,32,5,"$152,605,576","$140,529,829",92.09%,"$30,521,115",2021
WigginsAndrew Wiggins (2018-2022) ,SF,MIN,24,5,"$147,710,050","$147,710,050",100.00%,"$29,542,010",2023
EmbiidJoel Embiid (2018-2022) ,C,PHI,25,5,"$147,710,050","$147,710,050",100.00%,"$29,542,010",2023
JokicNikola Jokic (2018-2022) ,C,DEN,24,5,"$147,710,050","$142,710,044",96.62%,"$29,542,010",2023
WalkerKemba Walker (2019-2023) ,PG,BOSSigned w/CHA,29,4,"$140,790,600","$140,790,600",100.00%,"$35,197,650",2024
ButlerJimmy Butler (2019-2022) ,SG,MIASigned w/PHI,30,4,"$140,790,600","$140,790,600",100.00%,"$35,197,650",2023
LillardDamian Lillard (2016-2020) ,PG,POR,29,5,"$139,888,445","$139,888,445",100.00%,"$27,977,689",0
DeRozanDeMar DeRozan (2016-2020) ,SG,SASSigned w/TOR,30,5,"$139,000,000","$137,500,000",98.92%,"$27,800,000",2021
GeorgePaul George (2018-2021) ,SF,LACSigned w/OKC,29,4,"$136,911,936","$136,911,936",100.00%,"$34,227,984",2022
IrvingKyrie Irving (2019-2022) ,PG,BKN,27,4,"$136,490,600","$136,490,600",100.00%,"$34,122,650",2023
HolidayJrue Holiday (2017-2021) ,PG,NOP,29,5,"$131,805,000","$128,130,000",97.21%,"$26,361,000",2022
SiakamPascal Siakam (2020-2023) ,PF,TOR,25,4,"$129,920,000","$129,920,000",100.00%,"$32,480,000",2024
HaywardGordon Hayward (2017-2020) ,SF,BOS,29,4,"$127,829,970","$127,829,970",100.00%,"$31,957,493",2021
DavisAnthony Davis (2016-2020) ,PF,LALSigned w/NOP,26,5,"$127,171,313","$127,171,313",100.00%,"$25,434,263",2021
BealBradley Beal (2016-2020) ,SG,WAS,26,5,"$127,171,313","$127,171,313",100.00%,"$25,434,263",2021
DrummondAndre Drummond (2016-2020) ,C,DET,26,5,"$127,171,313","$127,171,313",100.00%,"$25,434,263",2021
LoveKevin Love (2019-2022) ,C,CLE,31,4,"$120,402,172","$120,402,172",100.00%,"$30,100,543",2023
BatumNicolas Batum (2016-2020) ,SG,CHA,30,5,"$120,000,000","$120,000,000",100.00%,"$24,000,000",2021
RussellD'Angelo Russell (2019-2022) ,PG,GSWSigned w/BKN,23,4,"$117,325,500","$117,325,500",100.00%,"$29,331,375",2023
GasolMarc Gasol (2015-2019) ,C,TORSigned w/MEM,34,5,"$113,211,750","$113,211,750",100.00%,"$22,642,350",2020
HorfordAl Horford (2019-2022) ,C,PHI,33,4,"$109,000,000","$97,000,000",88.99%,"$27,250,000",2023
BrownJaylen Brown (2020-2023) ,SG,BOS,23,4,"$107,000,000","$103,000,000",96.26%,"$26,750,000",2024
McCollumC.J. McCollum (2017-2020) ,SG,POR,28,4,"$106,633,449","$106,633,449",100.00%,"$26,658,362",2021
Porter Jr.Otto Porter Jr. (2017-2020) ,SF,CHISigned w/WAS,26,4,"$106,524,975","$106,524,975",100.00%,"$26,631,244",2021
LeonardKawhi Leonard (2019-2021) ,SF,LAC,28,3,"$103,137,300","$103,137,300",100.00%,"$34,379,100",2022
GobertRudy Gobert (2017-2020) ,C,UTH,27,4,"$102,000,000","$94,000,000",92.16%,"$25,500,000",2021
McCollumC.J. McCollum (2021-2023) ,SG,POR,28,3,"$100,000,000","$100,000,000",100.00%,"$33,333,333",2024
LowryKyle Lowry (2017-2019) ,PG,TOR,33,3,"$100,000,000","$93,000,000",93.00%,"$33,333,333",2020
AdamsSteven Adams (2017-2020) ,C,OKC,26,4,"$100,000,000","$100,000,000",100.00%,"$25,000,000",2021
AntetokounmpoGiannis Antetokounmpo (2017-2020) ,PF,MIL,24,4,"$100,000,000","$100,000,000",100.00%,"$25,000,000",2021
VucevicNikola Vucevic (2019-2022) ,C,ORL,29,4,"$100,000,000","$100,000,000",100.00%,"$25,000,000",2023
GreenDraymond Green (2020-2023) ,PF,GSW,29,4,"$99,666,362","$99,666,362",100.00%,"$24,916,591",2024
WhitesideHassan Whiteside (2016-2019) ,C,PORSigned w/MIA,30,4,"$98,419,538","$98,419,538",100.00%,"$24,604,885",2020
ParsonsChandler Parsons (2016-2019) ,SF,ATLSigned w/MEM,31,4,"$94,438,523","$94,438,523",100.00%,"$23,609,631",2020
HieldBuddy Hield (2020-2023) ,SG,SAC,25,4,"$94,000,000","$86,000,000",91.49%,"$23,500,000",2024
MillsapPaul Millsap (2017-2019) ,PF,DEN,34,3,"$90,000,000","$90,000,000",100.00%,"$30,000,000",2020
CapelaClint Capela (2018-2022) ,C,HOU,25,5,"$90,000,000","$80,000,000",88.89%,"$18,000,000",2023
DragicGoran Dragic (2015-2019) ,PG,MIA,33,5,"$85,002,250","$85,002,250",100.00%,"$17,000,450",2020
BarnesHarrison Barnes (2019-2022) ,SF,SAC,27,4,"$85,000,000","$85,000,000",100.00%,"$21,250,000",2023
BrogdonMalcolm Brogdon (2019-2022) ,PG,IND,26,4,"$85,000,000","$85,000,000",100.00%,"$21,250,000",2023
FournierEvan Fournier (2016-2020) ,SG,ORL,27,5,"$85,000,000","$85,000,000",100.00%,"$17,000,000",2021
OladipoVictor Oladipo (2017-2020) ,SG,INDSigned w/OKC,27,4,"$85,000,000","$84,000,000",98.82%,"$21,250,000",2021
HarrisGary Harris (2018-2021) ,SG,DEN,25,4,"$84,000,000","$74,000,000",88.10%,"$21,000,000",2022
ThompsonTristan Thompson (2015-2019) ,C,CLE,28,5,"$82,000,000","$82,000,000",100.00%,"$16,400,000",2020
GreenDraymond Green (2015-2019) ,PF,GSW,29,5,"$82,000,000","$82,000,000",100.00%,"$16,400,000",0
JacksonReggie Jackson (2015-2019) ,PG,DET,29,5,"$80,000,000","$80,000,000",100.00%,"$16,000,000",2020
GordonAaron Gordon (2018-2021) ,PF,ORL,24,4,"$80,000,000","$76,000,000",95.00%,"$20,000,000",2022
TurnerMyles Turner (2019-2022) ,C,IND,23,4,"$80,000,000","$70,000,000",87.50%,"$20,000,000",2023
LaVineZach LaVine (2018-2021) ,SG,CHI,24,4,"$78,000,000","$78,000,000",100.00%,"$19,500,000",2022
GordonEric Gordon (2020-2023) ,SG,HOU,30,4,"$75,574,356","$54,656,454",72.32%,"$18,893,589",2024
SabonisDomantas Sabonis (2020-2023) ,C,IND,23,4,"$74,900,000","$74,900,000",100.00%,"$18,725,000",2024
CrabbeAllen Crabbe (2016-2019) ,SG,ATLSigned w/POR,27,4,"$74,832,500","$74,832,500",100.00%,"$18,708,125",2020
BogdanovicBojan Bogdanovic (2019-2022) ,SF,UTH,30,4,"$73,100,000","$73,100,000",100.00%,"$18,275,000",2023
BiyomboBismack Biyombo (2016-2019) ,C,CHASigned w/ORL,27,4,"$72,000,000","$68,000,000",94.44%,"$18,000,000",2020
BealBradley Beal (2021-2022) ,SG,WAS,26,2,"$71,764,430","$71,764,430",100.00%,"$35,882,215",2023
Hardaway Jr.Tim Hardaway Jr. (2017-2020) ,SG,DALSigned w/NYK,27,4,"$70,950,000","$70,950,000",100.00%,"$17,737,500",2021
TurnerEvan Turner (2016-2019) ,SF,ATLSigned w/POR,31,4,"$70,000,000","$70,000,000",100.00%,"$17,500,000",2020
BledsoeEric Bledsoe (2019-2022) ,PG,MIL,29,4,"$70,000,000","$54,525,000",77.89%,"$17,500,000",2023
KnightBrandon Knight (2015-2019) ,PG,CLESigned w/PHX,27,5,"$70,000,000","$70,000,000",100.00%,"$14,000,000",2020
BazemoreKent Bazemore (2016-2019) ,SG,PORSigned w/ATL,30,4,"$70,000,000","$70,000,000",100.00%,"$17,500,000",2020
SchröderDennis Schröder (2017-2020) ,PG,OKCSigned w/ATL,26,4,"$70,000,000","$62,000,000",88.57%,"$17,500,000",2021
IbakaSerge Ibaka (2017-2019) ,PF,TOR,30,3,"$65,000,000","$65,000,000",100.00%,"$21,666,667",2020
GallinariDanilo Gallinari (2017-2019) ,SF,OKCSigned w/DEN,31,3,"$64,762,737","$64,762,737",100.00%,"$21,587,579",2020
MahinmiIan Mahinmi (2016-2019) ,C,WAS,33,4,"$64,000,000","$64,000,000",100.00%,"$16,000,000",2020
MurrayDejounte Murray (2020-2023) ,PG,SAS,23,4,"$63,820,000","$63,820,000",100.00%,"$15,955,000",2024
DiengGorgui Dieng (2017-2020) ,C,MIN,29,4,"$62,800,000","$62,800,000",100.00%,"$15,700,000",2021
