Player,Pos.,Team,Total Value,Avg./Year
Russell Wilson,QB,Seahawks,"$140,000,000","$35,000,000"
Ben Roethlisberger,QB,Steelers,"$68,000,000","$34,000,000"
Aaron Rodgers,QB,Packers,"$134,000,000","$33,500,000"
Jared Goff,QB,Rams,"$134,000,000","$33,500,000"
Carson Wentz,QB,Eagles,"$128,000,000","$32,000,000"
Matt Ryan,QB,Falcons,"$150,000,000","$30,000,000"
Kirk Cousins,QB,Vikings,"$84,000,000","$28,000,000"
Jacoby Brissett,QB,Colts,"$27,975,000","$27,975,000"
Jimmy Garoppolo,QB,49ers,"$137,500,000","$27,500,000"
Matt Stafford,QB,Lions,"$135,000,000","$27,000,000"
Derek Carr,QB,Raiders,"$125,025,000","$25,005,000"
Drew Brees,QB,Saints,"$50,000,000","$25,000,000"
Alex Smith,QB,Redskins,"$94,000,000","$23,500,000"
Khalil Mack,34OLB,Bears,"$141,000,000","$23,500,000"
Tom Brady,QB,Patriots,"$23,000,000","$23,000,000"
Aaron Donald,34DE,Rams,"$135,000,000","$22,500,000"
Joe Flacco,QB,Broncos,"$66,400,000","$22,133,333"
Nick Foles,QB,Jaguars,"$88,000,000","$22,000,000"
Julio Jones,WR,Falcons,"$66,000,000","$22,000,000"
Eli Manning,QB,Giants,"$84,000,000","$21,000,000"
Demarcus Lawrence,43DE,Cowboys,"$105,000,000","$21,000,000"
Philip Rivers,QB,Chargers,"$83,250,000","$20,812,500"
Frank Clark,43DE,Chiefs,"$104,000,000","$20,800,000"
Cam Newton,QB,Panthers,"$103,800,000","$20,760,000"
Michael Thomas,WR,Saints,"$96,250,000","$19,250,000"
Von Miller,34OLB,Broncos,"$114,500,000","$19,083,333"
Bobby Wagner,ILB,Seahawks,"$54,000,000","$18,000,000"
Tyreek Hill,WR,Chiefs,"$54,000,000","$18,000,000"
Trey Flowers,43DE,Lions,"$90,000,000","$18,000,000"
"Odell Beckham, Jr.",WR,Browns,"$90,000,000","$18,000,000"
Cameron Jordan,43DE,Saints,"$52,600,000","$17,533,333"
Fletcher Cox,43DT,Eagles,"$102,600,000","$17,100,000"
Dee Ford,43DE,49ers,"$85,000,000","$17,000,000"
Grady Jarrett,43DT,Falcons,"$68,000,000","$17,000,000"
Olivier Vernon,43DE,Browns,"$85,000,000","$17,000,000"
C.J. Mosley,ILB,Jets,"$85,000,000","$17,000,000"
J.J. Watt,34DE,Texans,"$100,000,000","$16,666,667"
Za'Darius Smith,34OLB,Packers,"$66,000,000","$16,500,000"
Mike Evans,WR,Buccaneers,"$82,500,000","$16,500,000"
Trent Brown,RT,Raiders,"$66,000,000","$16,500,000"
Chandler Jones,34OLB,Cardinals,"$82,500,000","$16,500,000"
Geno Atkins,43DT,Bengals,"$65,200,000","$16,300,000"
DeAndre Hopkins,WR,Texans,"$81,000,000","$16,200,000"
Brandin Cooks,WR,Rams,"$81,000,000","$16,200,000"
Adam Thielen,WR,Vikings,"$64,800,000","$16,200,000"
Kawann Short,43DT,Panthers,"$80,500,000","$16,100,000"
Melvin Ingram,43DE,Chargers,"$64,000,000","$16,000,000"
Taylor Lewan,LT,Titans,"$80,000,000","$16,000,000"
Andy Dalton,QB,Bengals,"$96,000,000","$16,000,000"
Sammy Watkins,WR,Chiefs,"$48,000,000","$16,000,000"
Nate Solder,LT,Giants,"$62,000,000","$15,500,000"
Jarvis Landry,WR,Browns,"$75,500,000","$15,100,000"
Jurrell Casey,34DE,Titans,"$60,400,000","$15,100,000"
Xavien Howard,CB,Dolphins,"$75,250,000","$15,050,000"
Jason Pierre-Paul,43DE,Buccaneers,"$62,000,000","$15,000,000"
Ezekiel Elliott,RB,Cowboys,"$90,000,000","$15,000,000"
Calais Campbell,43DE,Jaguars,"$60,000,000","$15,000,000"
Josh Norman,CB,Redskins,"$75,000,000","$15,000,000"
A.J. Green,WR,Bengals,"$60,000,000","$15,000,000"
Jadeveon Clowney,34OLB,Seahawks,"$15,000,000","$15,000,000"
