Tm,Salary,Cap Hit,Player
TOR,"16,000,000","10,893,000","Marner, Mitchell"
TOR,"15,900,000","11,000,000",John Tavares
TOR,"15,900,000","11,634,000",Auston Matthews
EDM,"15,000,000","12,500,000",Connor McDavid
MTL,"15,000,000","10,500,000",Carey Price
SJS,"14,500,000","11,500,000",Erik Karlsson
NYR,"14,000,000","11,642,857",Artemi Panarin
DAL,"13,500,000","9,850,000",Tyler Seguin
DAL,"13,000,000","9,500,000",Jamie Benn
TBL,"12,000,000","9,500,000",Nikita Kucherov
CAR,"12,000,000","8,454,000",Sebastian Aho
LAK,"12,000,000","11,000,000",Drew Doughty
NYR,"12,000,000","8,000,000",Jacob Trouba
VEG,"12,000,000","9,500,000",Mark Stone
WSH,"12,000,000","8,000,000",John Carlson
FLA,"11,500,000","10,000,000",Sergei Bobrovsky
LAK,"11,000,000","10,000,000",Anze Kopitar
VEG,"10,500,000","7,000,000",Max Pacioretty
SJS,"10,000,000","8,000,000",Logan Couture
BUF,"10,000,000","9,000,000",Jeff Skinner
NJD,"10,000,000","9,000,000",P.K. Subban
BUF,"10,000,000","10,000,000",Jack Eichel
NSH,"10,000,000","8,000,000",Matt Duchene
WPG,"10,000,000","8,250,000",Blake Wheeler
WSH,"10,000,000","9,538,462",Alex Ovechkin
SJS,"10,000,000","8,000,000",Brent Burns
CHI,"9,800,000","10,500,000",Jonathan Toews
CHI,"9,800,000","10,500,000",Patrick Kane
PIT,"9,500,000","9,500,000",Evgeni Malkin
TBL,"9,500,000","8,500,000",Steven Stamkos
PHI,"9,250,000","8,250,000",Jakub Voracek
EDM,"9,000,000","8,500,000",Leon Draisaitl
PIT,"9,000,000","8,700,000",Sidney Crosby
TOR,"9,000,000","6,962,366",William Nylander
FLA,"9,000,000","7,500,000",Aaron Ekblad
PHI,"9,000,000","7,142,857",Kevin Hayes
NYI,"9,000,000","7,000,000",Anders Lee
MIN,"9,000,000","7,538,461",Ryan Suter
MIN,"9,000,000","7,538,461",Zach Parise
VEG,"8,800,000","5,950,000",Nate Schmidt
VEG,"8,500,000","7,000,000",Marc-Andre Fleury
TBL,"8,400,000","6,750,000",Ryan McDonagh
WSH,"8,400,000","7,800,000",Evgeny Kuznetsov
ANA,"8,275,000","8,250,000",Ryan Getzlaf
PHI,"8,000,000","8,275,000",Claude Giroux
SJS,"8,000,000","7,000,000",Evander Kane
TBL,"8,000,000","7,875,000",Victor Hedman
DAL,"8,000,000","7,000,000",Joe Pavelski
WSH,"8,000,000","6,700,000",Nicklas Backstrom
PHI,"8,000,000","7,000,000",James van Riemsdyk
NSH,"8,000,000","8,000,000",Ryan Johansen
NYI,"8,000,000","6,000,000",Brock Nelson
ARI,"8,000,000","8,250,000",Oliver Ekman-Larsson
NSH,"7,700,000","6,250,000",Ryan Ellis
OTT,"7,500,000","7,250,000",Bobby Ryan
BOS,"7,500,000","6,125,000",Brad Marchand
STL,"7,500,000","6,500,000",Alex Pietrangelo
CHI,"7,500,000","6,875,000",Brent Seabrook
WPG,"7,500,000","7,142,857",Kyle Connor
ANA,"7,500,000","6,500,000",Cam Fowler
MIN,"7,400,000","6,000,000","Dumba, Matt"
CBJ,"7,375,000","5,875,000",Cam Atkinson
PIT,"7,250,000","7,250,000",Kris Letang
SJS,"7,250,000","7,000,000",Marc-Edouard Vlasic
NYR,"7,000,000","8,500,000",Henrik Lundqvist
LAK,"7,000,000","5,800,000",Jonathan Quick
PIT,"7,000,000","6,000,000",Jake Guentzel
VAN,"7,000,000","6,000,000",Tyler Myers
VAN,"7,000,000","6,000,000",Alexander Edler
BOS,"7,000,000","7,250,000",David Krejci
DAL,"7,000,000","5,800,000",Esa Lindell
DET,"7,000,000","6,100,000",Dylan Larkin
FLA,"6,900,000","5,900,000",Aleksander Barkov
BOS,"6,800,000","6,666,666",David Pastrnak
PHI,"6,750,000","6,750,000",Ivan Provorov
CGY,"6,750,000","6,375,000",Sean Monahan
CGY,"6,750,000","6,750,000",Johnny Gaudreau
WPG,"6,750,000","6,125,000",Mark Scheifele
CGY,"6,750,000","6,750,000",Mark Giordano
COL,"6,750,000","6,300,000",Nathan MacKinnon
CHI,"6,750,000","6,000,000",Brandon Saad
SJS,"6,750,000","5,750,000",Martin Jones
DAL,"6,600,000","6,250,000",Alexander Radulov
NSH,"6,500,000","5,750,000",Mikael Granlund
WPG,"6,500,000","6,000,000",Nikolaj Ehlers
BOS,"6,500,000","7,000,000",Tuukka Rask
WSH,"6,500,000","5,750,000",T.J. Oshie
VEG,"6,500,000","6,500,000",Paul Stastny
WSH,"6,500,000","5,100,000",Dmitry Orlov
ANA,"6,400,000","6,400,000",John Gibson
TBL,"6,300,000","5,166,666",Yanni Gourde
MIN,"6,250,000","5,500,000",Jason Zucker
CAR,"6,250,000","5,400,000",Teuvo Teravainen
SJS,"6,250,000","5,625,000",Tomas Hertl
FLA,"6,200,000","5,900,000",Jonathan Huberdeau
VAN,"6,000,000","5,250,000",J.T. Miller
CAR,"6,000,000","5,750,000",Dougie Hamilton
CBJ,"6,000,000","5,500,000",Gustav Nyquist
EDM,"6,000,000","6,000,000",Ryan Nugent-Hopkins
BUF,"6,000,000","6,000,000",Kyle Okposo
LAK,"6,000,000","6,250,000",Ilya Kovalchuk
NSH,"6,000,000","6,000,000",Kyle Turris
PIT,"6,000,000","5,500,000",Justin Schultz
MTL,"6,000,000","7,857,143",Shea Weber
NJD,"6,000,000","6,000,000",Cory Schneider
