Player,Salary,League
Russell Westbrook,41358814.0,NBA
Stephen Curry,40231758.0,NBA
Damian Lillard,39200000.0,NBA
Klay Thompson,37980720.0,NBA
Tobias Harris,36000000.0,NBA
Khris Middleton,35500000.0,NBA
Blake Griffin,34234964.0,NBA
James Harden,42782880.0,NBA
John Wall,42782880.0,NBA
Jamal Murray,33930000.0,NBA
Ben Simmons,33930000.0,NBA
Kevin Durant,41063925.0,NBA
Chris Paul,39932648.0,NBA
Karl Towns,31650600.0,NBA
Devin Booker,31650600.0,NBA
Kristaps Porzingis,31650600.0,NBA
Le James,38328212.0,NBA
Mike Conley,30521115.0,NBA
Andrew Wiggins,29542010.0,NBA
Joel Embiid,29542010.0,NBA
Nikola Jokic,29542010.0,NBA
Kemba Walker,35197650.0,NBA
Jimmy Butler,35197650.0,NBA
Damian Lillard,27977689.0,NBA
Rozan De,27800000.0,NBA
Paul George,34227984.0,NBA
Kyrie Irving,34122650.0,NBA
Jrue Holiday,26361000.0,NBA
Pascal Siakam,32480000.0,NBA
Gordon Hayward,31957493.0,NBA
Anthony Davis,25434263.0,NBA
Bradley Beal,25434263.0,NBA
Andre Drummond,25434263.0,NBA
Kevin Love,30100543.0,NBA
Nicolas Batum,24000000.0,NBA
Angelo Russell,29331375.0,NBA
Marc Gasol,22642350.0,NBA
Al Horford,27250000.0,NBA
Jaylen Brown,26750000.0,NBA
Collum Mc,26658362.0,NBA
Jr Porter,26631244.0,NBA
Kawhi Leonard,34379100.0,NBA
Rudy Gobert,25500000.0,NBA
Collum Mc,33333333.0,NBA
Kyle Lowry,33333333.0,NBA
Steven Adams,25000000.0,NBA
Giannis Antetokounmpo,25000000.0,NBA
Nikola Vucevic,25000000.0,NBA
Draymond Green,24916591.0,NBA
Hassan Whiteside,24604885.0,NBA
Chandler Parsons,23609631.0,NBA
Buddy Hield,23500000.0,NBA
Paul Millsap,30000000.0,NBA
Clint Capela,18000000.0,NBA
Goran Dragic,17000450.0,NBA
Harrison Barnes,21250000.0,NBA
Malcolm Brogdon,21250000.0,NBA
Evan Fournier,17000000.0,NBA
Victor Oladipo,21250000.0,NBA
Gary Harris,21000000.0,NBA
Tristan Thompson,16400000.0,NBA
Draymond Green,16400000.0,NBA
Reggie Jackson,16000000.0,NBA
Aaron Gordon,20000000.0,NBA
Myles Turner,20000000.0,NBA
Vine La,19500000.0,NBA
Domantas Sabonis,19250000.0,NBA
Eric Gordon,18893589.0,NBA
Allen Crabbe,18708125.0,NBA
Bojan Bogdanovic,18275000.0,NBA
Bismack Biyombo,18000000.0,NBA
Bradley Beal,35882215.0,NBA
Jr Hardaway,17737500.0,NBA
Evan Turner,17500000.0,NBA
Eric Bledsoe,17500000.0,NBA
Brandon Knight,14000000.0,NBA
Kent Bazemore,17500000.0,NBA
Dennis Schr,17500000.0,NBA
Serge Ibaka,21666667.0,NBA
Danilo Gallinari,21587579.0,NBA
Ian Mahinmi,16000000.0,NBA
Dejounte Murray,16000000.0,NBA
Gorgui Dieng,15700000.0,NBA
Julius Randle,20700000.0,NBA
Jeff Teague,19000000.0,NBA
Terry Rozier,18900000.0,NBA
Cody Zeller,14000000.0,NBA
Marvin Williams,13628125.0,NBA
Terrence Ross,13500000.0,NBA
Will Barton,13250000.0,NBA
Eric Gordon,13221622.0,NBA
Vert Le,17500000.0,NBA
Gilchrist Kidd,13000000.0,NBA
Dion Waiters,13000000.0,NBA
Joe Ingles,13000000.0,NBA
Brook Lopez,13000000.0,NBA
Marcus Smart,12999975.0,NBA
Ricky Rubio,17000000.0,NBA
La Aldridge,25000000.0,NBA
Kelly Olynyk,12500000.0,NBA
Jordan Clarkson,12500000.0,NBA
Tyler Johnson,12500000.0,NBA
Courtney Lee,12000835.0,NBA
Patrick Mills,12000000.0,NBA
Andre Iguodala,16000000.0,NBA
John Henson,12000000.0,NBA
Solomon Hill,12000000.0,NBA
Jusuf Nurkic,12000000.0,NBA
Warren Warren,11750000.0,NBA
Robert Covington,11719782.0,NBA
Tony Snell,11500000.0,NBA
Jonas Valanciunas,15000000.0,NBA
Jr Nance,11200000.0,NBA
Thaddeus Young,14545000.0,NBA
James Johnson,14431700.0,NBA
Maurice Harkless,10500000.0,NBA
Josh Richardson,10491264.0,NBA
Norman Powell,10491264.0,NBA
Meyers Leonard,10250000.0,NBA
Mason Plumlee,13666667.0,NBA
Dewayne Dedmon,13333333.0,NBA
Patrick Beverley,13333327.0,NBA
De Jordan,9990179.0,NBA
Matthew Dellavedova,9607500.0,NBA
Derrick Favors,18800000.0,NBA
Markelle Fultz,9350004.0,NBA
Dwight Powell,9317188.0,NBA
Cory Joseph,12400000.0,NBA
Kyle Anderson,9289075.0,NBA
Maxi Kleber,8975000.0,NBA
Jae Crowder,7000000.0,NBA
Spencer Dinwiddie,11454048.0,NBA
Twaun Moore,8500000.0,NBA
Lonzo Ball,8367906.0,NBA
Dwight Powell,11000000.0,NBA
Dante Exum,11000000.0,NBA
Rudy Gay,16000000.0,NBA
Seth Curry,8000000.0,NBA
Cristiano Felicio,8000000.0,NBA
Tucker Tucker,7969537.0,NBA
Jeremy Lamb,10500000.0,NBA
Cedi Osman,7700000.0,NBA
Kyle Lowry,30500000.0,NBA
Jayson Tatum,7518330.0,NBA
Andre Roberson,10000000.0,NBA
Jr Oubre,15000000.0,NBA
Danny Green,15000000.0,NBA
Tomas Satoransky,10000000.0,NBA
Al Aminu,9720900.0,NBA
Augustin Augustin,7250000.0,NBA
Taurean Prince,14500000.0,NBA
George Hill,9590602.0,NBA
Delon Wright,9350000.0,NBA
Deandre Ayton,9248760.0,NBA
Jerami Grant,9115384.0,NBA
Jerryd Bayless,9000000.0,NBA
Bogdan Bogdanovic,9000000.0,NBA
Ben Simmons,6655113.0,NBA
Redick Redick,13250000.0,NBA
Tyus Jones,8815100.0,NBA
Justise Winslow,13000000.0,NBA
Miles Miles,8333333.0,NBA
Trevor Ariza,12500000.0,NBA
Thomas Bryant,8333333.0,NBA
Louis Williams,8000000.0,NBA
Brandon Ingram,5955921.0,NBA
Jonathan Isaac,5581102.0,NBA
Luka Doncic,7431120.0,NBA
Dermott Mc,7333333.0,NBA
Jaylen Brown,5351067.0,NBA
Ersan Ilyasova,7000000.0,NBA
Langston Galloway,7000000.0,NBA
Ivica Zubac,7000000.0,NBA
De Carroll,6883333.0,NBA
Nemanja Bjelica,6825000.0,NBA
Lauri Markkanen,5097417.0,NBA
Jr Jackson,6699960.0,NBA
Zion Williamson,10001460.0,NBA
